Designator,Mid X,Mid Y,Layer,Rotation
J5,122.5830mm,-44.2040mm,Bottom,180
J6,153.1819mm,-39.1164mm,Bottom,180
C1,92.0750mm,-55.3110mm,Top,270
C2,96.5200mm,-55.5600mm,Top,270
C3,106.2380mm,-55.8800mm,Top,180
C4,100.6450mm,-49.1490mm,Top,0
C5,100.6450mm,-44.5770mm,Top,0
C6,101.2800mm,-63.5000mm,Top,180
C7,83.3000mm,-46.0000mm,Top,180
C8,87.0000mm,-52.4500mm,Top,270
C9,139.1920mm,-51.3270mm,Top,90
D3,80.6450mm,-58.2930mm,Top,270
D4,74.1270mm,-29.0882mm,Top,90
D5,81.2800mm,-28.8200mm,Top,90
D6,85.9790mm,-24.2085mm,Top,270
D7,90.4240mm,-24.2085mm,Top,270
D8,96.3930mm,-24.2085mm,Top,270
D9,103.5050mm,-24.0015mm,Top,270
F2,73.3275mm,-38.1000mm,Top,0
FB1,81.6125mm,-38.1000mm,Top,0
R1,96.8775mm,-59.6900mm,Top,0
R2,96.7975mm,-63.5000mm,Top,180
R3,106.3225mm,-63.5000mm,Top,180
R4,106.3225mm,-59.6900mm,Top,180
R5,101.3225mm,-59.6900mm,Top,0
R6,87.0000mm,-57.9125mm,Top,270
R7,74.5000mm,-51.9125mm,Top,270
R8,74.5000mm,-57.9125mm,Top,270
R9,143.2560mm,-51.2845mm,Top,90
R10,141.2240mm,-51.2845mm,Top,90
R11,86.9950mm,-28.9325mm,Top,90
R12,90.8050mm,-28.8525mm,Top,90
R13,99.9490mm,-24.1065mm,Top,270
R14,105.9180mm,-24.0265mm,Top,270
U1,100.9633mm,-54.8536mm,Top,0
U2,80.5250mm,-52.5000mm,Top,270
U3,133.1610mm,-52.0700mm,Top,270
